"","domain","area","pop2016"
"1","AT11",1,291011
"2","AT12",2,1653691
"3","AT13",3,1840226
"4","AT21",4,560482
"5","AT22",5,1232012
"6","AT31",6,1453948
"7","AT32",7,545815
"8","AT33",8,739139
"9","AT34",9,384147
"10","BE10",10,1201285
"11","BE21",11,1828927
"12","BE22",12,866970
"13","BE23",13,1489084
"14","BE24",14,1122600
"15","BE25",15,1184418
"16","BE31",16,397745
"17","BE32",17,1341267
"18","BE33",18,1103490
"19","BE34",19,283257
"20","BE35",20,492074
"21","CH01",21,1593839
"22","CH02",22,1842251
"23","CH03",23,1128723
"24","CH04",24,1466424
"25","CH05",25,1153485
"26","CH06",26,790458
"27","CH07",27,351946
"28","CZ01",28,1267449
"29","CZ02",29,1326876
"30","CZ03",30,1214450
"31","CZ04",31,1120654
"32","CZ05",32,1507209
"33","CZ06",33,1684500
"34","CZ07",34,1219394
"35","CZ08",35,1213311
"36","DE1",36,10879618
"37","DE2",37,12843514
"38","DE3",38,3520031
"39","DE4",39,2484826
"40","DE5",40,671489
"41","DE6",41,1787408
"42","DE7",42,6176172
"43","DE8",43,1612362
"44","DE9",44,7926599
"45","DEA",45,17865516
"46","DEB",46,4052803
"47","DEC",47,995597
"48","DED",48,4084851
"49","DEE",49,2245470
"50","DEF",50,2858714
"51","DEG",51,2170714
"52","EE00",52,1315944
"53","ES11",53,2720102
"54","ES12",54,1040925
"55","ES13",55,582504
"56","ES21",56,2164066
"57","ES22",57,637486
"58","ES23",58,312810
"59","ES24",59,1318571
"60","ES30",60,6424275
"61","ES41",61,2454454
"62","ES42",62,2048900
"63","ES43",63,1084969
"64","ES51",64,7408290
"65","ES52",65,4932347
"66","ES53",66,1135527
"67","ES61",67,8403774
"68","ES62",68,1466474
"69","ES63",69,84652
"70","ES70",71,2135209
"71","FI19",72,1379116
"72","FI1B",73,1620261
"73","FI1C",74,1160491
"74","FI1D",75,1298457
"75","FI20",76,28983
"76","FR10",77,12117132
"77","FRB0",78,2577866
"78","FRC1",79,1637941
"79","FRC2",80,1180397
"80","FRD1",81,1477349
"81","FRD2",82,1858580
"82","FRE1",83,4074448
"83","FRE2",84,1932422
"84","FRF1",85,1884150
"85","FRF2",86,1333248
"86","FRF3",87,2337788
"87","FRG0",88,3737632
"88","FRH0",89,3306529
"89","FRI1",90,3393297
"90","FRI2",91,736015
"91","FRI3",92,1806291
"92","FRJ1",93,2793303
"93","FRJ2",94,3015132
"94","FRK1",95,1363392
"95","FRK2",96,6553497
"96","FRL0",97,5021928
"97","UKC",104,2630654
"98","UKD",105,7199476
"99","UKE",106,5407699
"100","UKF",107,4701311
"101","UKG",108,5782942
"102","UKH",109,6102398
"103","UKI",110,8718245
"104","UKJ",111,8989881
"105","UKK",112,5494303
"106","UKL",113,3106222
"107","UKM",114,5388865
"108","UKN",115,1857048
"109","HU10",116,2993948
"110","HU21",117,1060703
"111","HU22",118,983933
"112","HU23",119,900868
"113","HU31",120,1153714
"114","HU32",121,1474383
"115","HU33",122,1262936
"116","IE01",123,1259673
"117","IE02",124,3466613
"118","IS00",125,332529
"119","ITC1",126,4404246
"120","ITC2",127,127329
"121","ITC3",128,1571053
"122","ITC4",129,10008349
"123","ITF1",130,1326513
"124","ITF3",132,5850850
"125","ITF4",133,4077166
"126","ITF5",134,573694
"127","ITF6",135,1970521
"128","ITG1",136,5074261
"129","ITG2",137,1658138
"130","ITH1",138,520891
"131","ITH2",139,538223
"132","ITH3",140,4915123
"133","ITH4",141,1221218
"134","ITH5",142,4448146
"135","ITI1",143,3744398
"136","ITI2",144,891181
"137","ITI3",145,1543752
"138","ITI4",146,5888472
"139","LT00",147,2888558
"140","NL11",148,583721
"141","NL12",149,646040
"142","NL13",150,488629
"143","NL21",151,1144280
"144","NL22",152,2035351
"145","NL23",153,404068
"146","NL31",154,1273613
"147","NL32",155,2784854
"148","NL33",156,3622303
"149","NL34",157,381252
"150","NL41",158,2498749
"151","NL42",159,1116260
"152","NO01",160,1251687
"153","NO02",161,384221
"154","NO03",162,984764
"155","NO04",163,768179
"156","NO05",164,890719
"157","NO06",165,449457
"158","NO07",166,481694
"159","PL11",167,2479350
"160","PL12",168,5323267
"161","PL21",169,3330031
"162","PL22",170,4520567
"163","PL31",171,2118528
"164","PL32",172,2083496
"165","PL33",173,1241895
"166","PL34",174,1158945
"167","PL41",175,3450966
"168","PL42",176,1684025
"169","PL43",177,1005159
"170","PL51",178,2864624
"171","PL52",179,952557
"172","PL61",180,2062006
"173","PL62",181,1414734
"174","PL63",182,2277059
"175","PT11",183,3603778
"176","PT15",184,441929
"177","PT16",185,2256364
"178","PT17",186,2812678
"179","PT18",187,724391
"180","SE11",190,2231439
"181","SE12",191,1638825
"182","SE21",192,834276
"183","SE22",193,1459880
"184","SE23",194,1963466
"185","SE31",195,838747
"186","SE32",196,371273
"187","SE33",197,513111
