domain,pop2014
AT11,287318
AT12,1626262
AT13,1765575
AT21,555743
AT22,1214927
AT31,1425982
AT32,534185
AT33,721574
AT34,375323
BE10,1183841
BE21,1809412
BE22,858535
BE23,1472518
BE24,1109226
BE25,1179373
BE31,391801
BE32,1335063
BE33,1098531
BE34,278651
BE35,487041
CH01,1545817
CH02,1808480
CH03,1104353
CH04,1425538
CH05,1134781
CH06,774123
CH07,346539
CZ01,1243201
CZ02,1302336
CZ03,1210176
CZ04,1125429
CZ05,1506503
CZ06,1680287
CZ07,1222655
CZ08,1221832
DE1,10631278
DE2,12604244
DE3,3421829
DE4,2449193
DE5,657391
DE6,1746342
DE7,6045425
DE8,1596505
DE9,7790559
DEA,17571856
DEB,3994366
DEC,990718
DED,4046385
DEE,2244577
DEF,2815955
DEG,2160840
DK01,1749405
DK02,816726
DK03,1202509
DK04,1277538
DK05,581057
EE00,1315819
ES11,2747226
ES12,1058975
ES13,587682
ES21,2167166
ES22,636450
ES23,315223
ES24,1331301
ES30,6378297
ES41,2495689
ES42,2075197
ES43,1096421
ES51,7416237
ES52,4956427
ES53,1115841
ES61,8388875
ES62,1461803
ES63,84674
ES64,83870
ES70,2114845
FI19,1374403
FI1B,1585473
FI1C,1161882
FI1D,1300846
FI20,28666
FR10,12014814
FR21,1339253
FR22,1930095
FR23,1852494
FR24,2576196
FR25,1479105
FR26,1642106
FR30,4066697
FR41,2342053
FR42,1874608
FR43,1178198
FR51,3688401
FR52,3276395
FR53,1794699
FR61,3343852
FR62,2977212
FR63,735320
FR71,6454372
FR72,1360637
FR81,2760428
FR82,4971622
FR83,323521
FR91,438635
FR92,381326
FR93,250377
FR94,844994
UKC,2614817
UKD,7120397
UKE,5356725
UKF,4613992
UKG,5691271
UKH,5981741
UKI,8472435
UKJ,8828349
UKK,5396703
UKL,3095126
UKM,5337461
UKN,1837275
HU10,2965413
HU21,1069190
HU22,984521
HU23,917492
HU31,1176894
HU32,1484375
HU33,1279480
IE01,1232783
IE02,3372718
LT00,2943472
NL11,582728
NL12,646317
NL13,488988
NL21,1139697
NL22,2019692
NL23,399893
NL31,1253672
NL32,2741369
NL33,3577032
NL34,380621
NL41,2479274
NL42,1120006
NO01,1209992
NO02,382230
NO03,969415
NO04,751632
NO05,875475
NO06,441193
NO07,478033
PL11,2498861
PL12,5292567
PL21,3316097
PL22,4548177
PL31,2134413
PL32,2083546
PL33,1253041
PL34,1165447
PL41,3441440
PL42,1691400
PL43,1008564
PL51,2869579
PL52,960226
PL61,2068417
PL62,1421264
PL63,2264817
PT11,3644195
PT15,442358
PT16,2281164
PT17,2807525
PT18,743306
PT20,247440
PT30,261313
SE11,2163042
SE12,1605347
SE21,819426
SE22,1426826
SE23,1921924
SE31,829134
SE32,368617
SE33,510548
SI01,1079655
SI02,981430
